league_id,name,abbr,nation_id,language_id,gender,historical_league,logo_file_name,players_path,start_date,preferred_start_date,pitcher_award_name,mvp_award_name,rookie_award_name,defense_award_name,fictional_players,start_fantasy_draft,trading_deadline,winter_meetings,arbitration_offering,show_draft_pool,rosters_expanded,draft_date,rule_5_draft_date,roster_expand_date,trade_deadline_date,allstar_date,days_until_deadline,next_draft_type,parent_league_id,league_state,season_year,historical_year,league_level,stats_detail,historical_import_path,foreigner_percentage,was_ootp6,was_65,allstar_game,auto_schedule_allstar,allstar_team_id0,allstar_team_id1,schedule_file_1,schedule_file_2,rules_rule_5,rules_minor_league_options,rules_trading,rules_draft_pick_trading,rules_financials,rules_amateur_draft,rules_fa_compensation,rules_schedule_balanced,rules_schedule_inter_league,rules_schedule_force_start_day,rules_trades_other_leagues,rules_free_agents_from_other_leagues,rules_free_agents_leave_other_leagues,rules_allstar_game,rules_spring_training,rules_active_roster_limit,rules_secondary_roster_limit,rules_expanded_roster_limit,rules_min_service_days,rules_waiver_period_length,rules_dfa_period_length,rules_fa_minimum_years,rules_salary_arbitration_minimum_years,rules_minor_league_fa_minimum_years,rules_foreigner_limit,rules_foreigner_pitcher_limit,rules_foreigner_hitter_limit,rules_schedule_games_per_team,rules_schedule_typical_series,rules_schedule_preferred_start_day,rules_amateur_draft_rounds,rules_minimum_salary,rules_salary_cap,rules_player_salary0,rules_player_salary1,rules_player_salary2,rules_player_salary3,rules_player_salary4,rules_player_salary5,rules_player_salary6,rules_player_salary7,rules_average_coach_salary,rules_average_attendance,rules_average_national_media_contract,rules_cash_maximum,rules_average_ticket_price,rules_revenue_sharing,rules_national_media_contract_fixed,rules_owner_decides_budget,rules_schedule_auto_adjust_dates,rules_historical_import_rookies,avg_rating_contact,avg_rating_gap,avg_rating_power,avg_rating_eye,avg_rating_strikeouts,avg_rating_stuff,avg_rating_movement,avg_rating_control,avg_rating_fielding0,avg_rating_fielding1,avg_rating_fielding2,avg_rating_fielding3,avg_rating_fielding4,avg_rating_fielding5,avg_rating_fielding6,avg_rating_fielding7,avg_rating_fielding8,avg_rating_fielding9,avg_rating_overall,avg_rating_age,league_totals_ab,league_totals_h,league_totals_d,league_totals_t,league_totals_hr,league_totals_bb,league_totals_hp,league_totals_k,league_totals_pa,league_totals_babip,league_totals_mod_h,league_totals_mod_d,league_totals_mod_t,league_totals_mod_hr,league_totals_mod_bb,league_totals_mod_hp,league_totals_mod_k,league_totals_mod_babip,ml_equivalencies_avg,ml_equivalencies_hr,ml_equivalencies_eb,ml_equivalencies_bb,ml_equivalencies_k,ml_equivalencies_hp,player_creation_modifier_contact,player_creation_modifier_gap,player_creation_modifier_power,player_creation_modifier_eye,player_creation_modifier_strikeouts,player_creation_modifier_stuff,player_creation_modifier_movement,player_creation_modifier_control,player_creation_modifier_speed,player_creation_modifier_fielding,financial_coefficient,world_start_year,current_date,background_color_id,text_color_id,scouting_coach_id
145,"Major League Baseball","MLB",206,0,0,1,"major_league_baseball.png","","2040-3-29","2040-3-29","Cy Young Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2040-7-7","2040-12-26","2040-8-30","2040-7-31","2040-7-17",29,0,0,2,2040,2041,1,3,"/Users/acehawk74/Application Support/Out of the Park Developments/OOTP Baseball 22/stats",40,0,0,1,1,85,86,"ILY_BGN_G162_SL1_D3_T5_T5_T5_SL2_D3_T5_T5_T5 _C_Final.lsdl","",1,1,1,0,1,1,3,0,1,1,0,1,1,1,1,26,40,28,172,8,15,6,3,6,0,0,0,162,3,5,25,535000,0,1000000,2600000,4400000,7000000,11500000,16000000,21000000,28000000,400000,31000,42500000,30000000,25.0000,1,1,1,1,0,117,137,122,111,120,184,115,129,0,58,129,125,150,139,171,125,146,130,130,28.5910,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.0504,0.9348,0.7767,0.9057,1.0351,0.8119,1.0670,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#808080","#FFFFFF",-2
146,"International League","IL",206,0,0,0,"international_league.png","","2040-4-12","2040-4-10","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31",NULL,-1,0,145,2,2040,2040,2,1,"",10,0,0,0,1,0,0,"international_league_aaa_c_2017.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0.0000,0,0,0,1,0,97,128,101,101,103,148,107,120,0,64,126,108,143,129,154,124,126,127,114,28.0695,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1297,1.0249,0.8102,0.7419,0.8189,0.8361,1.1731,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#860037","#FFFFFF",-2
147,"Pacific Coast League","PCL",206,0,0,0,"pacific_coast_league.png","","2040-4-12","2040-4-10","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31",NULL,-1,0,145,2,2040,2040,2,1,"",10,0,0,0,1,343,344,"pacific_coast_league_aaa_c_2017.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0.0000,0,0,0,1,0,98,127,99,100,104,156,107,114,0,62,121,119,145,129,159,141,150,124,114,28.0497,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1742,0.9796,1.0217,0.9426,0.9927,0.8317,1.1120,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#8A2529","#FFFFFF",-2
148,"Eastern League","EL",206,0,0,0,"eastern_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-16",-1,0,145,2,2040,2040,3,1,"",10,0,0,1,1,345,346,"ILN_BGN_G140_SL1D1T6D2T6_C_h2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,93,119,82,94,101,133,99,100,0,71,113,120,135,112,151,136,114,118,102,25.6672,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1374,0.9429,0.9219,0.9622,0.8606,1.0107,1.2022,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#004A8D","#FFFFFF",-2
149,"Southern League","SL",206,0,0,0,"southern_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-26",-1,0,145,2,2040,2040,3,1,"",10,0,0,1,1,347,348,"ILN_BGN_G140_SL1D1T5D2T5_C_hc2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,87,117,78,97,87,134,99,101,0,67,112,92,153,133,137,153,119,102,101,25.3243,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1338,0.9782,0.9726,0.9811,0.9139,0.9496,1.2247,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#002D56","#FFFFFF",-2
150,"Texas League","TEX",206,0,0,0,"texas_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-19",-1,0,145,2,2040,2040,3,1,"",10,0,0,1,1,349,350,"ILN_BGN_G140_SL1D1T4D2T4_C_h2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0.0000,0,0,0,1,0,95,122,86,90,104,139,100,105,0,61,111,135,124,131,141,135,110,120,105,25.9193,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1288,1.0378,0.8317,0.9758,0.8092,1.1081,1.1816,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#0055A5","#FFFFFF",-2
151,"California League","CAL",206,0,0,0,"california_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-19",-1,0,145,2,2040,2040,4,1,"",10,0,0,1,1,351,352,"ILN_BGN_G140_SL1D1T4D2T4_C_h2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,84,109,71,92,90,123,90,89,0,66,108,127,139,127,146,112,121,109,94,24.7940,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1885,1.0686,1.3336,1.3678,0.7062,1.1072,1.4059,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#25358E","#FFFFFF",-2
152,"Carolina League","CAR",206,0,0,0,"carolina_league.png","","2040-4-12","2040-4-10","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-22",-1,0,145,2,2040,2040,4,1,"",10,0,0,1,0,353,354,"carolina_league_a_c_2018.lsdl","",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,84,113,73,90,88,125,95,97,0,67,113,119,124,129,145,133,110,116,96,25.4424,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1337,0.9542,0.8635,1.0343,0.8766,1.2101,1.1799,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#72103C","#FFFFFF",-2
153,"Florida State League","FSL",206,0,0,0,"florida_state_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-16",-1,0,145,2,2040,2040,4,1,"",10,0,0,1,1,355,356,"ILN_BGN_G140_SL1D1T6D2T6_C_h2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,85,114,73,90,89,125,86,92,0,68,104,121,142,132,144,143,98,107,95,24.9261,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.1267,0.8678,1.0801,0.8784,0.7456,1.1517,1.1923,1.0000,0.7700,0.7000,0.7700,0.7700,0.7700,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#F58220","#FFFFFF",-2
154,"Midwest League","MID",206,0,0,0,"midwest_league.png","","2040-4-5","2040-4-4","Outstanding Pitcher Award","Most Valuable Player Award","Newcomer of the Year Award","Glove Wizard Award",0,0,0,0,0,0,0,"2040-6-15","2017-12-1","2040-9-1","2040-7-31","2040-6-19",-1,0,145,2,2040,2040,4,1,"",10,0,0,1,1,357,358,"ILN_BGN_G140_SL1D1T8D2T8_C_h2006.lsdl","",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,140,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0.0000,0,0,0,1,0,79,112,64,85,80,112,80,75,0,72,98,90,118,129,140,105,109,123,86,23.8686,165561,42276,8254,873,5400,15088,1651,38982,182300,0.3031,1.0764,0.8980,1.0914,0.9790,0.7123,1.0546,1.3678,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2017,"2040-7-2","#004D91","#FFFFFF",-2
